S. No.,tracking_id,cluster,lat,lng
5317,UID1000196817,5,13.0208,77.5587
5318,UID1000196818,5,13.0244,77.556
5319,UID1000196819,5,13.0248,77.555
5320,UID1000196820,5,13.0251,77.5591
5321,UID1000196821,5,13.0252,77.5592
5322,UID1000196901,5,12.9948,77.5567
5323,UID1000196904,5,12.9941,77.556
5324,UID1000196905,5,12.9937,77.559
5325,UID1000196906,5,12.9946,77.5589
5326,UID1000196907,5,12.9946,77.5591
5327,UID1000196908,5,12.9947,77.5605
5328,UID1000196909,5,12.995,77.5606
5329,UID1000196910,5,12.9956,77.5601
5330,UID1000196911,5,12.9957,77.5601
5331,UID1000196914,5,12.9892,77.561
5332,UID1000196949,5,13.0058,77.5554
5333,UID1000196950,5,13.005,77.5561
5334,UID1000196951,5,13.0053,77.5564
5335,UID1000196952,5,13.0051,77.5573
5336,UID1000196953,5,13.0051,77.5586
5337,UID1000196954,5,13.0041,77.5561
5338,UID1000196955,5,13.0033,77.5584
5339,UID1000196957,5,13.0182,77.5416
5340,UID1000196987,5,13.0064,77.5472
5341,UID1000196992,5,12.9903,77.561
5342,UID1000196993,5,13.0093,77.5596
5343,UID1000196994,5,13.0059,77.5497
5344,UID1000196995,5,13.03,77.5444
5345,UID1000196996,5,13.0305,77.545
5346,UID1000196997,5,13.0278,77.5473
5347,UID1000196998,5,13.0444,77.5526
5348,UID1000197000,5,13.0299,77.5448
5349,UID1000197001,5,13.0289,77.5452
5350,UID1000197002,5,13.0413,77.5491
5351,UID1000197003,5,13.0441,77.5531
5352,UID1000197004,5,13.0345,77.5475
5353,UID1000197005,5,13.03,77.5509
5354,UID1000197006,5,13.0348,77.5473
5355,UID1000197007,5,13.0297,77.5497
5356,UID1000197008,5,13.0386,77.548
5357,UID1000197009,5,13.0302,77.5488
5358,UID1000197010,5,13.0292,77.5494
5359,UID1000197011,5,13.0293,77.5512
5360,UID1000197012,5,13.0299,77.549
5361,UID1000197013,5,13.0289,77.5451
5362,UID1000197015,5,13.0113,77.5434
5363,UID1000197016,5,13.0117,77.5411
5364,UID1000197017,5,13.0118,77.5413
5365,UID1000197018,5,13.0117,77.5411
5366,UID1000197019,5,13.012,77.5414
5367,UID1000197020,5,13.0108,77.5398
5368,UID1000197023,5,13.0151,77.5291
5369,UID1000197024,5,13.0152,77.5295
5370,UID1000197034,5,12.9848,77.5718
5371,UID1000197037,5,12.9905,77.5736
5372,UID1000197038,5,12.9909,77.5733
5373,UID1000197039,5,13.0113,77.5426
5374,UID1000197040,5,13.0101,77.5421
5375,UID1000197043,5,13.0154,77.5292
5376,UID1000197044,5,13.0151,77.5295
5377,UID1000197127,5,12.9949,77.5661
5378,UID1000197128,5,12.9948,77.5652
